"DTSTART;VALUE=DATE";"DTEND;VALUE=DATE";RRULE;SUMMARY
20180101;20180101;"FREQ=YEARLY;INTERVAL=1";"Maria Santissima Madre di Dio e Circoncisione di Gesù - Solennità; San Fulgenzio di Ruspe; San Vincenzo Maria Strambi (vescovo)"
20180102;20180102;"FREQ=YEARLY;INTERVAL=1";"santi Basilio Magno e Gregorio Nazianzeno - Memoria; San Serafino di Sarov (Chiese orientali)"
20180103;20180103;"FREQ=YEARLY;INTERVAL=1";Santissimo Nome di Gesù
20180104;20180104;"FREQ=YEARLY;INTERVAL=1";sant'Elisabetta Anna Bayley Seton (vedova)
20180105;20180105;"FREQ=YEARLY;INTERVAL=1";"san Giovanni Nepomuceno (vescovo); san Carlo Houben (sacerdote)"
20180106;20180106;"FREQ=YEARLY;INTERVAL=1";Epifania - Solennità
20180107;20180107;"FREQ=YEARLY;INTERVAL=1";"san Raimondo di Peñafort - Memoria facoltativa; san Giuliano"
20180108;20180108;"FREQ=YEARLY;INTERVAL=1";"san Severino (monaco del V secolo); san Lorenzo Giustiniani (primo patriarca di Venezia)"
20180109;20180109;"FREQ=YEARLY;INTERVAL=1";san Marcellino (vescovo di Ancona del V secolo)
20180110;20180110;"FREQ=YEARLY;INTERVAL=1";"I santi Papa Milziade e Papa Agatone; san Paolo di Tebe eremita"
20180111;20180111;"FREQ=YEARLY;INTERVAL=1";"sant'Igino (papa del II secolo); san Teodosio il Cenobiarca monaco del V secolo"
20180112;20180112;"FREQ=YEARLY;INTERVAL=1";"san Bernardo da Corleone; sant'Aelredo di Rievaulx; sant'Antonio Maria Pucci"
20180113;20180113;"FREQ=YEARLY;INTERVAL=1";"sant'Ilario di Poitiers (vescovo e dottore della Chiesa del IV secolo) - Memoria facoltativa; san Remigio di Reims"
20180114;20180114;"FREQ=YEARLY;INTERVAL=1";san Felice da Nola (confessore della fede)
20180115;20180115;"FREQ=YEARLY;INTERVAL=1";san Mauro
20180116;20180116;"FREQ=YEARLY;INTERVAL=1";"santi Berardo, Otone, Pietro, Accursio e Adiuto (protomartiri dell'Ordine dei Frati Minori); san Marcello (papa del IV secolo)"
20180117;20180117;"FREQ=YEARLY;INTERVAL=1";"sant'Antonio Abate; san Giuliano Saba"
20180118;20180118;"FREQ=YEARLY;INTERVAL=1";santa Margherita d'Ungheria (principessa e religiosa)
20180119;20180119;"FREQ=YEARLY;INTERVAL=1";"san Bassiano (vescovo); san Macario il Grande (abate); santa Liberata di Como (monaca benedettina)"
20180120;20180120;"FREQ=YEARLY;INTERVAL=1";"san Fabiano - Memoria facoltativa; san Sebastiano (martire) - Memoria facoltativa; sant'Enrico di Uppsala (vescovo)"
20180121;20180121;"FREQ=YEARLY;INTERVAL=1";sant'Agnese (vergine e martire) - Memoria
20180122;20180122;"FREQ=YEARLY;INTERVAL=1";"santi Vincenzo - Memoria facoltativa; san Vincenzo Pallotti (presbitero fondatore della Società dell'Apostolato Cattolico)"
20180123;20180123;"FREQ=YEARLY;INTERVAL=1";sant'Emerenziana (vergine e martire)
20180124;20180124;"FREQ=YEARLY;INTERVAL=1";san Francesco di Sales (vescovo e dottore della Chiesa del XVII secolo) - Memoria
20180125;20180125;"FREQ=YEARLY;INTERVAL=1";Conversione di San Paolo - Festa
20180126;20180126;"FREQ=YEARLY;INTERVAL=1";santi Timoteo e Tito - Memoria
20180127;20180127;"FREQ=YEARLY;INTERVAL=1";sant'Angela Merici - Memoria facoltativa
20180128;20180128;"FREQ=YEARLY;INTERVAL=1";san Tommaso d'Aquino (sacerdote e dottore della Chiesa) - Memoria
20180129;20180129;"FREQ=YEARLY;INTERVAL=1";san Valerio di Treviri e san Costanzo di Perugia (vescovi)
20180130;20180130;"FREQ=YEARLY;INTERVAL=1";"santa Giacinta Marescotti; san Muziano Maria Wiaux; beato Sebastiano Valfrè"
20180131;20180131;"FREQ=YEARLY;INTERVAL=1";"san Giovanni Bosco - Memoria; san Francesco Saverio Maria Bianchi; san Giulio d'Orta; beata Ludovica Albertoni"